player_id,name,position,birth_state,college,high_school_state,draft_team,draft_round,draft_year,birth_year,birth_state_abr,high_school_state_abr
1809,Robert Blackmon,DB,Texas,Baylor,Texas,Seattle Seahawks,2,1990,1967,TX,TX
23586,Dean Wells,LB,Kentucky,Kentucky,Kentucky,Seattle Seahawks,4,1993,1970,KY,KY
355,Kiko Alonso,ILB,Massachusetts,Oregon,California,Buffalo Bills,2,2013,1990,MA,CA
18182,Steve Ramsey,QB,Texas,North Texas,Texas,New Orleans Saints,5,1970,1948,TX,TX
16250,Cory Nelms,CB,New Jersey,Miami (FL),New Jersey,,,,1988,NJ,NJ
4310,Jerome Collins,TE,Georgia,Notre Dame,Illinois,St. Louis Rams,5,2005,1982,GA,IL
2701,Preston Brown,ILB,Ohio,Louisville,Ohio,Buffalo Bills,3,2014,1992,OH,OH
13379,Hub Lindsey,RB,Ohio,Wyoming,Ohio,,,,1945,OH,OH
11755,LaMont Jordan,RB,Maryland,Maryland,Maryland,New York Jets,2,2001,1978,MD,MD
24550,Alex Wizbicki,DB-HB,New York,Dartmouth,New York,Pittsburgh Steelers,18,1945,1921,NY,NY
24331,Jeff Wilner,TE,New York,Wesleyan,New Hampshire,,,,1971,NY,NH
578,Lester Archambeau,DE,New Jersey,Stanford,New Jersey,Green Bay Packers,7,1990,1967,NJ,NJ
13878,Bob Mahan,B-E,Iowa,Drake,Iowa,,,,1904,IA,IA
3966,Frank Clark,DE,Ohio,Michigan,Ohio,Seattle Seahawks,2,2015,1993,OH,OH
9175,Jackie Harris,TE,Arkansas,La-Monroe,Arkansas,Green Bay Packers,4,1990,1968,AR,AR
24698,Chandler Worthy,WR,Georgia,Troy,Georgia,,,,1993,GA,GA
2657,Ken Brown,RB,Oklahoma,none,Oklahoma,,,,1945,OK,OK
10547,George Hurley,G,California,Washington St.,California,,,,1909,CA,CA
18011,MyCole Pruitt,TE,Indiana,Southern Illinois,Missouri,Minnesota Vikings,5,2015,1992,IN,MO
16101,Don Murry,T-E-G,Illinois,Wisconsin,Illinois,,,,1899,IL,IL
10730,Billy Jackson,RB,Alabama,Alabama,Alabama,Kansas City Chiefs,7,1981,1959,AL,AL
3015,Shawn Burks,LB,Louisiana,LSU,Louisiana,,,,1963,LA,LA
10668,Nate Irving,LB,North Carolina,North Carolina St.,North Carolina,Denver Broncos,3,2011,1988,NC,NC
7004,Don Fleming,DB,Ohio,Florida,Ohio,Chicago Cardinals,28,1959,1937,OH,OH
22401,Clarence Tommerson,HB,Wisconsin,Wisconsin,Wisconsin,,,,1915,WI,WI
8630,Paul Guidry,LB,Louisiana,LSU,Louisiana,Buffalo Bills,8,1966,1944,LA,LA
480,Ralph Anderson,DB,Texas,West Texas A&M;,Texas,Pittsburgh Steelers,5,1971,1949,TX,TX
5113,Matt Darwin,T-C,Texas,Texas A&M;,Colorado,Philadelphia Eagles,4,1986,1963,TX,CO
7483,Bob Gaddis,WR,Mississippi,Miss. Valley St.,Mississippi,Pittsburgh Steelers,13,1975,1952,MS,MS
12559,Scott Kowalkowski,LB,Michigan,Notre Dame,Michigan,Philadelphia Eagles,8,1991,1968,MI,MI
7898,Gale Gillingham,G-DT,Wisconsin,Minnesota,Minnesota,Green Bay Packers,1,1966,1944,WI,MN
8195,Dave Graf,LB,New York,Penn St.,New York,Cleveland Browns,17,1975,1953,NY,NY
1477,Ricky Bell,RB,Texas,USC,California,Tampa Bay Buccaneers,1,1977,1955,TX,CA
16158,Ross Nagel,DT-T,Missouri,St. Louis,Missouri,,,,1923,MO,MO
6203,Rick Eber,WR,California,Tulsa,California,Atlanta Falcons,6,1968,1945,CA,CA
19449,Emmanuel Sanders,WR,Texas,SMU,Texas,Pittsburgh Steelers,3,2010,1987,TX,TX
24379,J.C. Wilson,DB,Ohio,Tampa,Ohio,Houston Oilers,8,1978,1956,OH,OH
5048,Eldon Danenhauer,T,Kansas,Emporia St.,Kansas,,,,1935,KS,KS
19455,James Sanders,DB,California,Fresno St.,California,New England Patriots,4,2005,1983,CA,CA
12166,George Kershaw,E,New York,Colgate,New York,,,,1927,NY,NY
18159,Larry Rakestraw,QB,Georgia,Georgia,Georgia,Oakland Raiders,11,1964,1942,GA,GA
19783,Chris Scott,DE,Ohio,Purdue,Ohio,Indianapolis Colts,3,1984,1961,OH,OH
15927,Eddie Moss,RB,Arkansas,SE Missouri St.,Missouri,Buffalo Bills,13,1972,1948,AR,MO
20499,Dave Smigelsky,P,New Jersey,Virginia Tech,New Jersey,,,,1959,NJ,NJ
1244,D'Wayne Bates,WR,South Carolina,Northwestern,South Carolina,Chicago Bears,3,1999,1975,SC,SC
11795,Matt Joyce,G-T,Wisconsin,Richmond,New York,,,,1972,WI,NY
24188,Mike Williams,WR,Florida,USC,Florida,Detroit Lions,1,2005,1984,FL,FL
