state,year,population,state_abr
Alabama,1910,2138093,AL
Alabama,1911,2159101,AL
Alabama,1912,2180109,AL
Alabama,1913,2201117,AL
Alabama,1914,2222125,AL
Alabama,1915,2243133,AL
Alabama,1916,2264141,AL
Alabama,1917,2285149,AL
Alabama,1918,2306157,AL
Alabama,1919,2327165,AL
Alabama,1920,2348174,AL
Alabama,1921,2377981,AL
Alabama,1922,2407788,AL
Alabama,1923,2437596,AL
Alabama,1924,2467403,AL
Alabama,1925,2497211,AL
Alabama,1926,2527018,AL
Alabama,1927,2556825,AL
Alabama,1928,2586633,AL
Alabama,1929,2616440,AL
Alabama,1930,2646248,AL
Alabama,1931,2664919,AL
Alabama,1932,2683590,AL
Alabama,1933,2702261,AL
Alabama,1934,2720933,AL
Alabama,1935,2739604,AL
Alabama,1936,2758275,AL
Alabama,1937,2776947,AL
Alabama,1938,2795618,AL
Alabama,1939,2814289,AL
Alabama,1940,2832961,AL
Alabama,1941,2855839,AL
Alabama,1942,2878717,AL
Alabama,1943,2901595,AL
Alabama,1944,2924473,AL
Alabama,1945,2947352,AL
Alabama,1946,2970230,AL
Alabama,1947,2993108,AL
Alabama,1948,3015986,AL
Alabama,1949,3038864,AL
Alabama,1950,3061743,AL
Alabama,1951,3082242,AL
Alabama,1952,3102742,AL
Alabama,1953,3123242,AL
Alabama,1954,3143741,AL
Alabama,1955,3164241,AL
Alabama,1956,3184741,AL
Alabama,1957,3205240,AL
Alabama,1958,3225740,AL
Alabama,1959,3246240,AL
Alabama,1960,3266740,AL
Alabama,1961,3284482,AL
Alabama,1962,3302225,AL
Alabama,1963,3319967,AL
Alabama,1964,3337710,AL
Alabama,1965,3355452,AL
Alabama,1966,3373195,AL
Alabama,1967,3390937,AL
Alabama,1968,3408680,AL
Alabama,1969,3426422,AL
Alabama,1970,3444165,AL
Alabama,1971,3489137,AL
Alabama,1972,3534109,AL
Alabama,1973,3579081,AL
Alabama,1974,3624054,AL
Alabama,1975,3669026,AL
Alabama,1976,3713998,AL
Alabama,1977,3758971,AL
Alabama,1978,3803943,AL
Alabama,1979,3848915,AL
Alabama,1980,3893888,AL
Alabama,1981,3908557,AL
Alabama,1982,3923227,AL
Alabama,1983,3937897,AL
Alabama,1984,3952567,AL
Alabama,1985,3967237,AL
Alabama,1986,3981907,AL
Alabama,1987,3996577,AL
Alabama,1988,4011247,AL
Alabama,1989,4025917,AL
Alabama,1990,4040587,AL
Alabama,1991,4081238,AL
Alabama,1992,4121889,AL
Alabama,1993,4162540,AL
Alabama,1994,4203192,AL
Alabama,1995,4243843,AL
Alabama,1996,4284494,AL
Alabama,1997,4325146,AL
Alabama,1998,4365797,AL
Alabama,1999,4406448,AL
Alabama,2000,4447100,AL
Alabama,2001,4480363,AL
Alabama,2002,4513627,AL
Alabama,2003,4546890,AL
Alabama,2004,4580154,AL
Alabama,2005,4613418,AL
Alabama,2006,4646681,AL
Alabama,2007,4679945,AL
Alabama,2008,4713208,AL
Alabama,2009,4746472,AL
Alabama,2010,4779736,AL
Alabama,2011,4804190,AL
Alabama,2012,4828644,AL
Alabama,2013,4853098,AL
Alabama,2014,4877553,AL
Alabama,2015,4902007,AL
Alabama,2016,4926461,AL
Alabama,2017,4950916,AL
Alabama,2018,4975370,AL
Alabama,2019,4999824,AL
Alaska,1910,64356,AK
Alaska,1911,63424,AK
Alaska,1912,62492,AK
Alaska,1913,61560,AK
Alaska,1914,60628,AK
Alaska,1915,59696,AK
Alaska,1916,58764,AK
Alaska,1917,57832,AK
Alaska,1918,56900,AK
Alaska,1919,55968,AK
Alaska,1920,55036,AK
Alaska,1921,55460,AK
Alaska,1922,55884,AK
Alaska,1923,56308,AK
Alaska,1924,56732,AK
Alaska,1925,57157,AK
Alaska,1926,57581,AK
Alaska,1927,58005,AK
Alaska,1928,58429,AK
Alaska,1929,58853,AK
Alaska,1930,59278,AK
Alaska,1931,60602,AK
Alaska,1932,61927,AK
Alaska,1933,63251,AK
Alaska,1934,64576,AK
Alaska,1935,65901,AK
Alaska,1936,67225,AK
Alaska,1937,68550,AK
Alaska,1938,69874,AK
Alaska,1939,71199,AK
Alaska,1940,72524,AK
Alaska,1941,78135,AK
Alaska,1942,83747,AK
Alaska,1943,89359,AK
Alaska,1944,94971,AK
Alaska,1945,100583,AK
Alaska,1946,106195,AK
Alaska,1947,111807,AK
Alaska,1948,117419,AK
Alaska,1949,123031,AK
Alaska,1950,128643,AK
Alaska,1951,138395,AK
Alaska,1952,148147,AK
Alaska,1953,157900,AK
Alaska,1954,167652,AK
Alaska,1955,177405,AK
Alaska,1956,187157,AK
Alaska,1957,196909,AK
Alaska,1958,206662,AK
Alaska,1959,216414,AK
Alaska,1960,226167,AK
Alaska,1961,233588,AK
Alaska,1962,241010,AK
Alaska,1963,248431,AK
Alaska,1964,255853,AK
Alaska,1965,263274,AK
Alaska,1966,270696,AK
Alaska,1967,278117,AK
Alaska,1968,285539,AK
Alaska,1969,292960,AK
Alaska,1970,300382,AK
Alaska,1971,310528,AK
Alaska,1972,320675,AK
Alaska,1973,330822,AK
Alaska,1974,340969,AK
Alaska,1975,351116,AK
Alaska,1976,361263,AK
Alaska,1977,371410,AK
Alaska,1978,381557,AK
Alaska,1979,391704,AK
Alaska,1980,401851,AK
Alaska,1981,416670,AK
Alaska,1982,431489,AK
Alaska,1983,446308,AK
Alaska,1984,461127,AK
Alaska,1985,475947,AK
Alaska,1986,490766,AK
Alaska,1987,505585,AK
Alaska,1988,520404,AK
Alaska,1989,535223,AK
Alaska,1990,550043,AK
Alaska,1991,557731,AK
Alaska,1992,565420,AK
Alaska,1993,573109,AK
Alaska,1994,580798,AK
Alaska,1995,588487,AK
Alaska,1996,596176,AK
Alaska,1997,603865,AK
Alaska,1998,611554,AK
Alaska,1999,619243,AK
Alaska,2000,626932,AK
Alaska,2001,635261,AK
Alaska,2002,643591,AK
Alaska,2003,651921,AK
Alaska,2004,660251,AK
Alaska,2005,668581,AK
Alaska,2006,676911,AK
Alaska,2007,685241,AK
Alaska,2008,693571,AK
Alaska,2009,701901,AK
Alaska,2010,710231,AK
Alaska,2011,712547,AK
Alaska,2012,714863,AK
Alaska,2013,717179,AK
Alaska,2014,719495,AK
Alaska,2015,721811,AK
Alaska,2016,724127,AK
Alaska,2017,726443,AK
Alaska,2018,728759,AK
Alaska,2019,731075,AK
Arizona,1910,204354,AZ
Arizona,1911,217334,AZ
Arizona,1912,230315,AZ
Arizona,1913,243296,AZ
Arizona,1914,256277,AZ
Arizona,1915,269258,AZ
Arizona,1916,282238,AZ
Arizona,1917,295219,AZ
Arizona,1918,308200,AZ
Arizona,1919,321181,AZ
Arizona,1920,334162,AZ
Arizona,1921,344303,AZ
Arizona,1922,354444,AZ
Arizona,1923,364585,AZ
Arizona,1924,374726,AZ
Arizona,1925,384867,AZ
Arizona,1926,395008,AZ
Arizona,1927,405149,AZ
Arizona,1928,415290,AZ
Arizona,1929,425431,AZ
Arizona,1930,435573,AZ
Arizona,1931,441941,AZ
Arizona,1932,448310,AZ
Arizona,1933,454679,AZ
Arizona,1934,461048,AZ
Arizona,1935,467417,AZ
Arizona,1936,473785,AZ
Arizona,1937,480154,AZ
Arizona,1938,486523,AZ
Arizona,1939,492892,AZ
Arizona,1940,499261,AZ
Arizona,1941,524293,AZ
Arizona,1942,549326,AZ
Arizona,1943,574358,AZ
Arizona,1944,599391,AZ
Arizona,1945,624424,AZ
Arizona,1946,649456,AZ
Arizona,1947,674489,AZ
Arizona,1948,699521,AZ
Arizona,1949,724554,AZ
Arizona,1950,749587,AZ
Arizona,1951,804844,AZ
Arizona,1952,860101,AZ
Arizona,1953,915359,AZ
Arizona,1954,970616,AZ
Arizona,1955,1025874,AZ
Arizona,1956,1081131,AZ
Arizona,1957,1136388,AZ
Arizona,1958,1191646,AZ
Arizona,1959,1246903,AZ
Arizona,1960,1302161,AZ
Arizona,1961,1349034,AZ
Arizona,1962,1395908,AZ
Arizona,1963,1442782,AZ
Arizona,1964,1489656,AZ
Arizona,1965,1536530,AZ
Arizona,1966,1583404,AZ
Arizona,1967,1630278,AZ
Arizona,1968,1677152,AZ
Arizona,1969,1724026,AZ
Arizona,1970,1770900,AZ
Arizona,1971,1865631,AZ
Arizona,1972,1960363,AZ
Arizona,1973,2055094,AZ
Arizona,1974,2149826,AZ
Arizona,1975,2244557,AZ
Arizona,1976,2339289,AZ
Arizona,1977,2434020,AZ
Arizona,1978,2528752,AZ
Arizona,1979,2623483,AZ
Arizona,1980,2718215,AZ
Arizona,1981,2812916,AZ
Arizona,1982,2907617,AZ
Arizona,1983,3002318,AZ
Arizona,1984,3097020,AZ
Arizona,1985,3191721,AZ
Arizona,1986,3286422,AZ
Arizona,1987,3381124,AZ
Arizona,1988,3475825,AZ
Arizona,1989,3570526,AZ
Arizona,1990,3665228,AZ
Arizona,1991,3811768,AZ
Arizona,1992,3958308,AZ
Arizona,1993,4104849,AZ
Arizona,1994,4251389,AZ
Arizona,1995,4397930,AZ
Arizona,1996,4544470,AZ
Arizona,1997,4691010,AZ
Arizona,1998,4837551,AZ
Arizona,1999,4984091,AZ
