year,winning_team,losing_team,mvp
2020,Kansas City Chiefs,San Francisco 49ers,Patrick Mahomes
2019,New England Patriots,Los Angeles Rams,Julian Edelman
2018,Philadelphia Eagles,New England Patriots,Nick Foles
2017,New England Patriots,Atlanta Falcons,Tom Brady
2016,Denver Broncos,Carolina Panthers,Von Miller
2015,New England Patriots,Seattle Seahawks,Tom Brady
2014,Seattle Seahawks,Denver Broncos,Malcolm Smith
2013,Baltimore Ravens,San Francisco 49ers,Joe Flacco
2012,New York Giants,New England Patriots,Eli Manning
2011,Green Bay Packers,Pittsburgh Steelers,Aaron Rodgers
2010,New Orleans Saints,Indianapolis Colts,Drew Brees
2009,Pittsburgh Steelers,Arizona Cardinals,Santonio Holmes
2008,New York Giants,New England Patriots,Eli Manning
2007,Indianapolis Colts,Chicago Bears,Peyton Manning
2006,Pittsburgh Steelers,Seattle Seahawks,Hines Ward
2005,New England Patriots,Philadelphia Eagles,Deion Branch
2004,New England Patriots,Carolina Panthers,Tom Brady
2003,Tampa Bay Buccaneers,Oakland Raiders,Dexter Jackson
2002,New England Patriots,St. Louis Rams,Tom Brady
2001,Baltimore Ravens,New York Giants,Ray Lewis
2000,St. Louis Rams,Tennessee Titans,Kurt Warner
1999,Denver Broncos,Atlanta Falcons,John Elway
1998,Denver Broncos,Green Bay Packers,Terrell Davis
1997,Green Bay Packers,New England Patriots,Desmond Howard
1996,Dallas Cowboys,Pittsburgh Steelers,Larry Brown
1995,San Francisco 49ers,San Diego Chargers,Steve Young
1994,Dallas Cowboys,Buffalo Bills,Emmitt Smith
1993,Dallas Cowboys,Buffalo Bills,Troy Aikman
1992,Washington Redskins,Buffalo Bills,Mark Rypien
1991,New York Giants,Buffalo Bills,Ottis Anderson
1990,San Francisco 49ers,Denver Broncos,Joe Montana
1989,San Francisco 49ers,Cincinnati Bengals,Jerry Rice
1988,Washington Redskins,Denver Broncos,Doug Williams
1987,New York Giants,Denver Broncos,Phil Simms
1986,Chicago Bears,New England Patriots,Richard Dent
1985,San Francisco 49ers,Miami Dolphins,Joe Montana
1984,Los Angeles Raiders,Washington Redskins,Marcus Allen
1983,Washington Redskins,Miami Dolphins,John Riggins
1982,San Francisco 49ers,Cincinnati Bengals,Joe Montana
1981,Oakland Raiders,Philadelphia Eagles,Jim Plunkett
1980,Pittsburgh Steelers,Los Angeles Rams,Terry Bradshaw
1979,Pittsburgh Steelers,Dallas Cowboys,Terry Bradshaw
1978,Dallas Cowboys,Denver Broncos,Harvey MartinRandy White
1977,Oakland Raiders,Minnesota Vikings,Fred Biletnikoff
1976,Pittsburgh Steelers,Dallas Cowboys,Lynn Swann
1975,Pittsburgh Steelers,Minnesota Vikings,Franco Harris
1974,Miami Dolphins,Minnesota Vikings,Larry Csonka
1973,Miami Dolphins,Washington Redskins,Jake Scott
1972,Dallas Cowboys,Miami Dolphins,Roger Staubach
1971,Baltimore Colts,Dallas Cowboys,Chuck Howley
1970,Kansas City Chiefs,Minnesota Vikings,Len Dawson
1969,New York Jets,Baltimore Colts,Joe Namath
1968,Green Bay Packers,Oakland Raiders,Bart Starr
1967,Green Bay Packers,Kansas City Chiefs,Bart Starr
