nfl_year,super_bowl_mvp,high_school_state,birth_state,high_school_state_abr,birth_state_abr
2017,Tom Brady,California,California,CA,CA
2016,Von Miller,Texas,Texas,TX,TX
2015,Tom Brady,California,California,CA,CA
2014,Malcolm Smith,California,California,CA,CA
2013,Joe Flacco,New Jersey,New Jersey,NJ,NJ
2012,Eli Manning,Louisiana,Louisiana,LA,LA
2011,Aaron Rodgers,California,California,CA,CA
2010,Drew Brees,Texas,Texas,TX,TX
2009,Santonio Holmes,Florida,Florida,FL,FL
2008,Eli Manning,Louisiana,Louisiana,LA,LA
2007,Peyton Manning,Louisiana,Louisiana,LA,LA
2006,Hines Ward,Georgia,Georgia,GA,GA
2005,Deion Branch,Georgia,Georgia,GA,GA
2004,Tom Brady,California,California,CA,CA
2003,Dexter Jackson,Florida,Florida,FL,FL
2002,Tom Brady,California,California,CA,CA
2001,Ray Lewis,Florida,Florida,FL,FL
2000,Kurt Warner,Iowa,Iowa,IA,IA
1999,John Elway,California,Washington,CA,WA
1998,Terrell Davis,California,California,CA,CA
1997,Desmond Howard,Ohio,Ohio,OH,OH
1996,Larry Brown,Florida,Florida,FL,FL
1995,Steve Young,California,Washington,CA,WA
1994,Emmitt Smith,Florida,Florida,FL,FL
1993,Troy Aikman,Oklahoma,California,OK,CA
1992,Mark Rypien,Washington,Canada,WA,CAN
1991,Ottis Anderson,Florida,Florida,FL,FL
1990,Joe Montana,Pennsylvania,Pennsylvania,PA,PA
1989,Jerry Rice,Mississippi,Mississippi,MS,MS
1988,Doug Williams,Ohio,Ohio,OH,OH
1987,Phil Simms,Kentucky,Kentucky,KY,KY
1986,Richard Dent,Georgia,Georgia,GA,GA
1985,Joe Montana,Pennsylvania,Pennsylvania,PA,PA
1984,Marcus Allen,California,California,CA,CA
1983,John Riggins,Kansas,Kansas,KS,KS
1982,Joe Montana,Pennsylvania,Pennsylvania,PA,PA
1981,Jim Plunkett,California,California,CA,CA
1980,Terry Bradshaw,Louisiana,Louisiana,LA,LA
1979,Terry Bradshaw,Louisiana,Louisiana,LA,LA
1978,Harvey MartinRandy White,Texas/Delaware,Texas/Pennsylvania,TX/DE,TX/PA
1977,Fred Biletnikoff,Pennsylvania,Pennsylvania,PA,PA
1976,Lynn Swann,California,Tennessee,CA,TN
1975,Franco Harris,New Jersey,New Jersey,NJ,NJ
1974,Larry Csonka,Ohio,Ohio,OH,OH
1973,Jake Scott,Virginia,South Carolina,VA,SC
1972,Roger Staubach,Ohio,Ohio,OH,OH
1971,Chuck Howley,West Virginia,West Virginia,WV,WV
1970,Len Dawson,Ohio,Ohio,OH,OH
1969,Joe Namath,Pennsylvania,Pennsylvania,PA,PA
1968,Bart Starr,Alabama,Alabama,AL,AL
1967,Bart Starr,Alabama,Alabama,AL,AL
