team,state,nfl_year,players_from_state,from_desc
SEA,Texas,1990,3,birth
SEA,New York,1990,2,birth
SEA,Connecticut,1990,2,birth
SEA,Florida,1990,4,birth
SEA,California,1990,3,birth
SEA,South Carolina,1990,1,birth
SEA,North Dakota,1990,1,birth
SEA,Michigan,1990,1,birth
SEA,Mississippi,1990,2,birth
SEA,Wisconsin,1990,1,birth
SEA,Illinois,1990,1,birth
SEA,Georgia,1990,3,birth
SEA,Arkansas,1990,3,birth
SEA,New Jersey,1990,3,birth
SEA,Virginia,1990,1,birth
SEA,Washington,1990,1,birth
SEA,Iowa,1990,2,birth
SEA,Louisiana,1990,1,birth
SEA,Maryland,1990,1,birth
SEA,Alabama,1990,1,birth
SEA,Pennsylvania,1990,1,birth
SEA,Massachusetts,1990,1,birth
SEA,Texas,1990,2,high_school
SEA,New York,1990,2,high_school
SEA,Connecticut,1990,2,high_school
SEA,Florida,1990,4,high_school
SEA,California,1990,9,high_school
SEA,South Carolina,1990,1,high_school
SEA,Virginia,1990,1,high_school
SEA,Michigan,1990,1,high_school
SEA,Mississippi,1990,2,high_school
SEA,Maryland,1990,1,high_school
SEA,Wisconsin,1990,1,high_school
SEA,Illinois,1990,1,high_school
SEA,Georgia,1990,3,high_school
SEA,Arkansas,1990,2,high_school
SEA,New Jersey,1990,3,high_school
SEA,Washington,1990,1,high_school
SEA,South Dakota,1990,1,high_school
SEA,Idaho,1990,1,high_school
SEA,Louisiana,1990,1,high_school
SEA,Alabama,1990,1,high_school
SEA,Pennsylvania,1990,1,high_school
SEA,Massachusetts,1990,1,high_school
SEA,Nevada,1990,1,high_school
SEA,Texas,1991,2,birth
SEA,New York,1991,2,birth
SEA,Connecticut,1991,2,birth
SEA,Florida,1991,6,birth
SEA,California,1991,3,birth
SEA,Georgia,1991,4,birth
SEA,South Carolina,1991,1,birth
SEA,North Dakota,1991,1,birth
SEA,North Carolina,1991,1,birth
SEA,Michigan,1991,1,birth
SEA,Mississippi,1991,1,birth
SEA,Wisconsin,1991,1,birth
SEA,Nebraska,1991,1,birth
SEA,Arkansas,1991,3,birth
SEA,Arizona,1991,2,birth
SEA,New Jersey,1991,3,birth
SEA,Virginia,1991,1,birth
SEA,Washington,1991,1,birth
SEA,Louisiana,1991,1,birth
SEA,Pennsylvania,1991,1,birth
SEA,Maryland,1991,1,birth
SEA,Alabama,1991,1,birth
SEA,Iowa,1991,1,birth
SEA,Massachusetts,1991,1,birth
SEA,Texas,1991,1,high_school
SEA,New York,1991,2,high_school
SEA,Connecticut,1991,2,high_school
SEA,Florida,1991,7,high_school
SEA,California,1991,9,high_school
SEA,Georgia,1991,4,high_school
SEA,South Carolina,1991,1,high_school
SEA,Virginia,1991,1,high_school
SEA,Nebraska,1991,1,high_school
SEA,Michigan,1991,1,high_school
SEA,Mississippi,1991,1,high_school
SEA,Wisconsin,1991,1,high_school
SEA,Arkansas,1991,2,high_school
SEA,Arizona,1991,2,high_school
SEA,New Jersey,1991,2,high_school
SEA,North Carolina,1991,1,high_school
SEA,Washington,1991,1,high_school
SEA,Louisiana,1991,1,high_school
SEA,Pennsylvania,1991,1,high_school
SEA,Alabama,1991,1,high_school
SEA,Massachusetts,1991,1,high_school
SEA,Nevada,1991,1,high_school
SEA,Texas,1992,4,birth
SEA,Connecticut,1992,3,birth
SEA,California,1992,3,birth
SEA,Georgia,1992,3,birth
SEA,New York,1992,1,birth
SEA,South Carolina,1992,1,birth
SEA,Florida,1992,5,birth
SEA,Louisiana,1992,1,birth
SEA,North Dakota,1992,1,birth
SEA,North Carolina,1992,3,birth
SEA,Oregon,1992,2,birth
SEA,Mississippi,1992,1,birth
SEA,Maryland,1992,2,birth
SEA,Arkansas,1992,3,birth
SEA,Arizona,1992,1,birth
SEA,New Jersey,1992,3,birth
SEA,Virginia,1992,1,birth
SEA,Ohio,1992,1,birth
SEA,Pennsylvania,1992,1,birth
SEA,Massachusetts,1992,1,birth
SEA,Texas,1992,3,high_school
SEA,Connecticut,1992,3,high_school
SEA,Arizona,1992,1,high_school
SEA,California,1992,11,high_school
SEA,Georgia,1992,3,high_school
SEA,New York,1992,1,high_school
SEA,South Carolina,1992,1,high_school
SEA,Florida,1992,3,high_school
SEA,Virginia,1992,2,high_school
SEA,Nebraska,1992,1,high_school
SEA,Oregon,1992,2,high_school
SEA,Mississippi,1992,1,high_school
SEA,Tennessee,1992,1,high_school
SEA,Arkansas,1992,2,high_school
SEA,New Jersey,1992,2,high_school
SEA,North Carolina,1992,3,high_school
